,Term,Project,TopicID,Screen#,Template Type,Category,Images,Status,Type,
Kartik,2,MOE_SCI,SC5_L009_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L009_Learn_2,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L015_Learn_2,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L015_Review,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC5_L010_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L010_Review,4,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L010_Learn_2,2,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L010_Review,4,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L016_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L012_Learn_2,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Learn_1,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L018_Learn_1,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L011_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Investigate_1,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC6_L013_Learn_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L018_Investigate_2,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC8_L018_Investigate_3,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Learn_1,5,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Learn_2,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Review,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L012_Investigate_1,6,Custom DND,C1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L013_Learn_2,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L015_Review,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L014_Learn_2,3,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L021_Review,2,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L022_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L014_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L023_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L016_Review,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L024_Learn_1,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L024_Review,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L017_Review,2,Custom DND,B1,,Done,Drag and Drop,
,2,MOE_SCI,SC5_L009_Review_01,1,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L011_Learn_2,6,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L009_Learn_1,3,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L009_Learn_2,3,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L009_Review,5,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L015_Learn_2,3,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L015_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L010_Learn_2,4,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L010_Review,3,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L010_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L016_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L011_Learn_02,5,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L017_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L011_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L011_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L012_Learn_1,6,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L018_Review,3,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L012_Review,5,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L018_Learn_2,6,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L018_Investigate_3,3,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L019_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L014_Learn_1,5,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L013_Review,1,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L015_Learn_2,3,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L020_Learn_1,5,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L014_SecondLook_2,1,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L016_Learn_1,4,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L016_Learn_2,2,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L022_Learn_1,3,Hotspot,,,Done,,
,2,MOE_SCI,SC5_L014_Learn_1,4,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L016_Investigate_1,5,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L017_Learn_1,4,Hotspot,,,Done,,
,2,MOE_SCI,SC8_L023_Learn_1,5,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L017_Learn_1,4,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L016_Review,3,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L018_Learn_2,2,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L019_Learn_1,5,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L019_Investigate_1,6,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L017_Learn_2,4,Hotspot,,,Done,,
,2,MOE_SCI,SC6_L017_Review,3,Hotspot,,,Done,,
,2,MOE_SCI,SC7_L020_Investigate_1,3,Hotspot,,,Done,,
Kartik,2,NCE_SCI,CS_SC6_L012_Learn_2,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC6_L013_Investigate_1,6,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_SCI,CS_SC7_L017_Investigate_1,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_SCI,CS_SC6_L014_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC9_L019_SecondLook_1,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC9_L018_Investigate_1,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_SCI,CS_SC8_L022_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC6_L015_Learn_1,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC6_L015_Learn_2,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC6_L016_Investigate_1,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_SCI,CS_SC5_L014_Learn_1,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_SCI,CS_SC9_L023_Learn_1,4,Custom DND,A1,,Done,Drag and Drop,
,2,NCE_SCI,CS_SC5_L011_Learn_02,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L016_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L016_Learn_2,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L012_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L013_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC7_L017_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC7_L017_Learn_2,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L017_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC8_L021_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L014_SecondLook_1,1,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L019_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L018_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L018_SecondLook_1,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC7_L018_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC8_L022_Learn_2,5,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC5_L012_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L015_Learn_2,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L019_Learn_2,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L019_Learn_2,5,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L020_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L019_Investigate_1,8,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L016_Investigate_1,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L021_Learn_1,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L021_SecondLook_1,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC5_L014_Learn_2,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC8_L024_SecondLook_1,1,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L017_Investigate_1,6,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC8_L025_Learn_2,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L022_Learn_1,3,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC9_L022_Learn_2,4,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L018_Learn_2,2,Hotspot,,,Done,,
,2,NCE_SCI,CS_SC6_L018_Learn_1,4,Hotspot,,,Done,,
Kartik,2,NCE_Math,CS_MA8_L034_ExploreLearn,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_Math,MA8_L028_Learn,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,NCE_ELA,CS_ELA7_L001_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L001_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L001_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L001_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L001_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L001_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L001_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L002_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L002_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L002_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L002_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L002_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L002_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L002_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L002_GoFurther,2,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L002_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L002_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L003_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L003_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L003_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L003_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L003_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L003_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L003_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L003_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L003_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L004_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L004_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L004_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L004_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L005_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
