,Term,Project,TopicID,Screen#,Template Type,Category,Images,Status,Type,
Kartik,2,NCE_ELA,CS_ELA7_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L005_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L005_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L005_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L006_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L006_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L006_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L006_GoFurther,3,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L007_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L007_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L007_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L007_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L007_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L007_GoFurther,4,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L007_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L007_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L007_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L007_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L008_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L008_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L008_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L008_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L008_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L008_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L008_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L008_GoFurther,4,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L008_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L008_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L009_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L009_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L009_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L009_GoFurther,4,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L009_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L009_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L009_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L009_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L009_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L009_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L010_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA5_L010_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L010_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA6_L010_GoFurther,2,Custom DND,B1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L010_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA7_L010_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L010_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA8_L010_GoFurther,2,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L010_Connect,3,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,NCE_ELA,CS_ELA9_L010_GoFurther,3,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_Math,MA8_L043_Explore,4,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_Math,MA8_L043_Explore,6,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_Math,MA8_L043_Learn,4,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC5_L016_Learn_2,6,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC5_L016_Investigate_1,5,Custom DND,B1,,Done,Drag and Drop,NA
Apurva,3,NCE_SCI,CS_SC8_L030_Learn_1,5,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L024_Learn_1,5,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L024_SecondLook_1,1,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L024_SecondLook_1,2,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L024_Investigate_1,5,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L024_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,Image
Apurva,3,NCE_SCI,CS_SC8_L032_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC8_L032_Learn_2,2,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,NCE_SCI,CS_SC7_L027_SecondLook_1,2,Custom DND,B1,,Done,Drag and Drop,
,3,NCE_SCI,CS_SC5_L016_Learn_1,5,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L021_Learn_1,5,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC5_L016_Learn_2,2,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC5_L016_Investigate_1,4,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L022_Learn_2,2,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC8_L029_Learn_1,4,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L019_Learn_2,3,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L023_Learn_1,6,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L020_Learn_1,5,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L020_Learn_2,5,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L024_Learn_1,4,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L020_Investigate_1,3,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L024_Investigate_1,7,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L021_Learn_2,4,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC9_L024_Learn_2,4,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC7_L025_Learn_2,3,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC6_L022_Learn_2,3,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC9_L026_SecondLook_1,1,Hotspot,,,Done,,
,3,NCE_SCI,CS_SC9_L026_Investigate_1,3,Hotspot,,,Done,,
Apurva,3,MOE_SCI,SC5_L015_Learn_2,2,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L015_Review,1,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC5_L015_Review,4,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC6_L018_Learn_2,3,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC7_L022_Learn_2,3,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L016_SecondLook_2,1,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC5_L016_Review,2,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC5_L016_Review,5,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC7_L023_Investigate_1,6,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC5_L018_Investigate_1,3,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L018_Investigate_1,5,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L018_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC6_L022_Investigate_1,5,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L018_Review,3,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC6_L022_Learn_1,5,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC7_L025_Learn_1,5,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC7_L025_Learn_2,4,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC7_L025_Investigate_1,2,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC8_L030_Review,4,Custom DND,A1,,Done,Drag and Drop,Image
Apurva,3,MOE_SCI,SC8_L030_Investigate_1,5,Custom DND,B1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC7_L025_Investigate_3,6,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC7_L025_Review,5,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC5_L019_Review,2,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L019_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Apurva,3,MOE_SCI,SC5_L020_Review,4,Custom DND,A1,,Done,Drag and Drop,Image
Apurva,3,MOE_SCI,SC6_L024_SecondLook_1,1,Custom DND,B1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC6_L024_Review,2,Custom DND,A1,,Done,Fill in the Blanks,
Apurva,3,MOE_SCI,SC7_L027_Investigate_1,3,Custom DND,A1,,Done,Fill in the Blanks,
,3,MOE_SCI,SC7_L021_SecondLook_2,2,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L015_Learn_1,5,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L018_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L022_Learn_2,2,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L016_Review,6,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L019_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L028_Learn_1,4,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L017_Learn_1,5,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L017_Investigate_1,3,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L017_Investigate_2,3,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L023_Review,4,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L020_Learn_1,4,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L020_Review,5,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L024_Learn_2,5,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L021_SecondLook_1,1,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L029_Learn_2,6,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L018_Learn_1,4,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L018_Review,2,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L022_Learn_1,4,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L025_Learn_2,3,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L030_SecondLook_1,2,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L025_Learn_3,4,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L031_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L025_Review,2,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L020_Learn_1,3,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L019_Learn_2,2,Hotspot,,,Done,,
,3,MOE_SCI,SC5_L020_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L024_Learn_2,6,Hotspot,,,Done,,
,3,MOE_SCI,SC6_L024_Investigate_1,2,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L033_SecondLook_2,1,Hotspot,,,Done,,
,3,MOE_SCI,SC8_L033_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L027_Review,1,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L027_Learn_2,2,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L027_Learn_1,4,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L028_Learn_2,5,Hotspot,,,Done,,
,3,MOE_SCI,SC7_L028_Review,3,Hotspot,,,Done,,